
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::               (v2.7.14)

2025-07-20 15:26:21 [http-nio-8080-exec-6] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:21 [http-nio-8080-exec-7] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:21 [http-nio-8080-exec-7] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:21 [http-nio-8080-exec-7] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:21 [http-nio-8080-exec-7] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:21 [http-nio-8080-exec-8] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:21 [http-nio-8080-exec-8] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:21 [http-nio-8080-exec-8] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:21 [http-nio-8080-exec-8] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:21 [http-nio-8080-exec-9] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:21 [http-nio-8080-exec-9] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:21 [http-nio-8080-exec-9] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:21 [http-nio-8080-exec-9] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:21 [http-nio-8080-exec-10] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:21 [http-nio-8080-exec-10] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:21 [http-nio-8080-exec-10] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:21 [http-nio-8080-exec-10] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:38 [http-nio-8080-exec-3] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:38 [http-nio-8080-exec-3] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:38 [http-nio-8080-exec-3] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:38 [http-nio-8080-exec-3] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:38 [http-nio-8080-exec-4] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:38 [http-nio-8080-exec-4] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:38 [http-nio-8080-exec-4] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:38 [http-nio-8080-exec-4] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:38 [http-nio-8080-exec-5] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:38 [http-nio-8080-exec-5] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:38 [http-nio-8080-exec-5] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:38 [http-nio-8080-exec-5] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:38 [http-nio-8080-exec-6] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:38 [http-nio-8080-exec-6] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:38 [http-nio-8080-exec-6] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:38 [http-nio-8080-exec-6] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:26:38 [http-nio-8080-exec-7] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
2025-07-20 15:26:38 [http-nio-8080-exec-7] INFO  c.a.encoding.service.EncodingService - Converting 80 bytes from shift_jis to UTF-8, max output: 240
2025-07-20 15:26:38 [http-nio-8080-exec-7] INFO  c.a.encoding.service.EncodingService - Conversion successful: 80 -> 89 bytes
2025-07-20 15:26:38 [http-nio-8080-exec-7] INFO  c.a.e.controller.EncodingController - Conversion successful, output length: 89
2025-07-20 15:42:38 [http-nio-8080-exec-10] INFO  c.a.e.controller.EncodingController - Received SJIS to UTF8 conversion request: EncodingRequest{inputLength=80, outputLength=240, encoding='shift_jis', layout='null'}
